transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
149,11371863833130322653,1478-09-11,149,117,-1002952787216274643,-2481255876199184384,0.4531009422180685,0.8521609391352128,PWJHmVeqWX
130,3354531488446381672,1614-11-26,242,227,8714187619154279471,6512372373899370633,0.022101069938989748,0.04414856217891683,uhASSog8IuNr9WigP
119,1900043626107460321,0994-04-04,99,90,-2254259304861853543,5561908883979026802,0.9060344573709631,0.20675486253455788,kXcimdTGNzqgS6
153,17530348796663841212,2395-06-03,49,112,6589053189641634316,734908493951411571,0.7941913987433176,0.9762895890232195,3bYMf7JQrpLqZ
158,1648235690300994471,1686-04-30,196,218,520120328725043630,4309511160689040548,0.5715724392295066,0.18647587745104588,zh58t5EdbxwY
178,1215898679257500349,0823-07-22,143,140,406902280161090749,490756662128436708,0.5991769365879858,0.03377832778488521,qKilLD
127,9187937975804965505,0297-08-13,125,84,591655500231486948,407519635291634879,0.19259553726063938,0.0390457665218924,mTSDG7fmv2exfkTZ5r
161,7759034988097994630,0140-05-04,135,152,-8506319312943414980,-3110894355001087383,0.6333159945425566,0.16516438754990115,GOmuL9LRqbmUNiE
193,17851529958482062323,1092-03-16,141,76,-7452684847078054631,2643012310096075405,0.9678181776132312,0.15896533050762862,M9QUyp
153,8961055317682008668,2865-09-04,164,226,3662693428221309383,195492745067542130,0.2511702935200507,0.831132713586707,4clhsjyPplkc6fwCE
163,5790802539318138236,1906-09-19,61,110,6699477505981379639,5732166532838920511,0.44495801806795277,0.7067208889292415,dwhdsD1mJPbLWiWjf
135,14214627107807742558,1327-12-27,226,241,-1010784928788816391,4889820672894560988,0.3981418934003177,0.30953169573369965,8Oxc5
103,16912762702582055111,0838-11-06,70,60,-6554898107058957082,-6843172148264205040,0.3074583102090377,0.6987155838675675,n7DvpdDFXWowezMI
169,10515214764581104162,2966-07-13,254,191,-4128895815179191613,-285924240931762098,0.584129277724453,0.26762719201148877,2dpVZkEZ4fIhDPuR
100,2337181558083013887,2164-08-31,151,215,5513454977125845192,2019320412537177364,0.27631501724670804,0.3400994837700657,0aksgJqj
112,6579640168128635414,1397-01-29,237,46,1574288379728936135,-1891924233337351048,0.8421035214259032,0.39012358297153593,s0v3LazcocojZe0
127,7553655624376620418,2716-12-04,112,117,8325597142598901165,3051115226165130776,0.4509379694660236,0.7884253023845451,f7zaa3UnzIJLKa
188,7413519209425206706,1358-09-19,114,119,-6894949530166235273,-6758203407119639580,0.9038685188061033,0.7631609892498422,SUNkfQhzYpHO
174,14524415712891114931,2830-01-13,197,117,4617543709832256318,6443337543558932697,0.3666264929839159,0.5665972721941552,WEHAvQCt
121,14942272313424231524,1155-05-11,64,18,-3127885740375571843,6314610875503239692,0.8402819291795651,0.20090580935956892,d9jeLjKHB
